50 100 10 15
49.132 93.2589
26.7509 12.9361
57.628 34.8286
52.0045 71.361
97.8869 62.5149
66.0741 83.3619
84.6242 22.0504
8.7144 31.9321
42.2876 21.9386
4.1406 2.8035
60.2132 68.021
73.1446 28.6149
68.2629 3.0791
6.1032 28.4451
67.6503 11.3194
30.7075 7.1623
34.8294 58.1015
72.65 1.0961
10.7092 84.3501
25.2499 6.6062
43.8931 48.4097
58.718 16.2403
30.7007 42.1958
43.5469 86.306
31.0336 65.641
91.5969 96.2474
65.842 39.576
17.6907 41.193
64.5104 77.9265
3.5293 90.2051
78.2607 66.9312
0.1804 17.1376
38.4515 31.9782
67.2467 27.1206
3.9491 23.0797
43.4759 70.2492
17.4381 30.947
58.3211 97.3869
19.1036 86.2436
38.3639 61.9773
88.218 87.9447
0.18414 30.7114
68.0203 62.6196
28.2515 63.3983
82.1409 30.1197
29.4109 58.2954
39.01 10.7676
95.1081 79.8408
83.5255 87.5137
89.0217 64.767
5.5069 91.7629 1
93.8562 61.8542 1
5.7961 91.0472 1
24.9145 89.3861 1
37.5118 34.5293 1
41.3529 99.6385 1
16.5184 89.0265 1
94.1974 36.3816 1
12.8043 78.2897 1
75.5389 32.8324 1
64.0155 15.6707 1
30.6615 73.9484 1
11.5719 63.1737 1
95.5548 59.9904 1
82.4148 24.0562 1
15.2197 28.2347 1
39.289 79.8737 1
46.2763 58.6945 1
73.7818 30.1753 1
87.5654 29.6112 1
97.3842 22.5205 1
72.3877 50.5442 1
62.2915 56.5037 1
84.2093 6.8896 1
37.8042 16.3903 1
89.8682 51.0519 1
78.8761 54.1539 1
90.8798 51.0036 1
42.141 12.1917 1
7.0587 15.575 1
90.7523 40.9146 1
61.2739 69.3653 1
75.0338 78.0772 1
58.0403 63.6363 1
99.4522 58.1805 1
16.5867 97.4734 1
70.8823 52.9638 1
16.6703 28.8371 1
7.9331 19.6209 1
63.4077 21.5373 1
55.1481 43.7663 1
77.2274 56.695 1
5.4883 91.5583 1
4.6642 31.6097 1
58.251 28.1023 1
76.1745 61.8899 1
18.526 22.0445 1
53.5964 17.2017 1
57.3696 1.6418 1
60.4939 51.6334 1
4.0792 0.24162 1
27.0123 55.6002 1
17.8949 55.5734 1
52.7728 7.3732 1
73.5075 39.6909 1
91.7633 77.2204 1
3.0598 57.2536 1
82.4218 40.3069 1
84.7394 52.3322 1
46.9636 39.2486 1
37.0319 6.7025 1
7.5637 77.8519 1
16.9957 76.431 1
67.1965 56.853 1
59.0129 61.4463 1
66.7788 58.887 1
45.026 61.6629 1
79.1944 23.9777 1
45.5798 79.1084 1
89.4465 70.5647 1
7.2557 73.7876 1
63.5435 13.8418 1
80.8622 0.54903 1
32.1098 73.8518 1
53.6072 81.0787 1
86.608 56.4722 1
53.4216 5.5682 1
79.3612 32.3096 1
58.6233 93.3615 1
88.1507 85.2758 1
44.3176 68.6773 1
9.3164 16.7238 1
92.9496 67.9664 1
41.8572 7.9569 1
52.6703 56.1004 1
69.0944 45.9042 1
5.4657 66.5068 1
34.041 43.4114 1
79.2789 3.0703 1
0.65451 44.2409 1
5.4202 46.7067 1
27.4074 1.0384 1
35.7479 59.355 1
78.1057 30.1631 1
18.8845 82.5934 1
40.648 91.5917 1
69.3955 26.7353 1
82.948 29.6017 1
54.6175 9.2474 1
91.2339 72.5832 1
