50 100 5 15
20 93
20 49
32 64
3 56
26 19
46 36
69 79
16 4
16 51
14 26
70 54
61 18
70 68
79 44
67 39
13 8
42 96
51 8
35 11
94 72
89 82
0 43
53 46
63 32
16 85
30 6
89 75
32 53
77 77
55 28
34 1
56 68
24 91
41 77
55 46
35 33
21 54
66 28
85 63
94 31
51 65
0 88
90 82
13 21
62 22
28 26
76 86
25 30
30 79
55 66
14 67 0.84
79 5 0.95
11 8 0.82
3 66 0.89
17 50 0.99
69 20 0.97
38 96 0.96
66 13 0.9
58 13 0.79
15 16 0.84
59 59 0.8
74 97 0.92
93 24 0.77
97 50 0.96
14 95 0.85
77 44 1.0
75 58 0.86
15 49 0.75
63 54 0.9
61 95 0.96
79 30 0.83
67 28 0.99
87 98 0.89
16 82 0.88
88 9 0.86
11 15 1.0
38 68 0.89
83 9 0.78
39 83 0.79
51 56 0.81
93 28 0.91
65 90 0.84
72 66 0.83
79 56 0.84
11 30 0.79
32 87 0.89
0 63 0.84
22 83 0.84
29 69 0.76
68 83 0.99
48 67 1.0
95 65 0.75
79 27 0.76
20 37 0.94
59 19 0.76
71 11 0.92
45 52 0.89
97 34 0.83
67 21 0.79
11 37 0.98
21 25 0.9
52 36 0.96
60 70 0.86
74 32 0.96
88 40 1.0
71 21 0.79
35 27 0.91
71 78 0.98
94 100 0.75
34 29 0.98
26 70 0.98
25 10 0.86
27 46 1.0
67 15 0.81
34 47 0.75
83 85 0.77
81 42 0.82
71 85 0.77
54 83 0.87
61 65 0.8
52 25 0.96
47 96 0.96
61 69 0.76
18 1 0.75
12 75 0.76
94 11 0.94
83 16 0.96
26 65 0.94
83 87 0.8
70 86 0.94
5 4 0.76
53 84 0.88
7 49 0.93
80 80 0.99
98 70 0.82
15 41 0.85
99 61 0.87
2 53 0.92
26 92 0.84
19 98 0.97
20 30 0.87
7 1 0.81
90 93 0.87
16 94 0.84
94 9 0.85
99 57 0.79
40 38 0.85
37 1 0.84
72 87 0.91
80 95 0.86
