20 50 2 20
68 5
84 64
97 25
50 84
33 86
35 35
52 74
31 1
93 69
39 46
86 36
85 44
92 5
51 69
8 39
53 42
73 25
75 72
30 87
38 83
88 16 0.86
18 19 0.85
82 19 0.99
42 67 0.92
36 70 0.97
31 24 0.85
98 33 1.0
81 91 0.92
88 44 0.76
57 90 1.0
84 89 0.87
85 27 0.99
22 97 0.81
96 99 0.88
70 84 0.77
85 79 0.99
97 36 0.76
23 58 0.9
50 70 0.87
20 77 0.85
56 39 0.78
70 8 0.9
26 57 0.85
27 87 0.95
37 48 0.77
72 57 0.76
29 58 0.9
38 89 0.77
69 94 0.88
80 67 0.96
62 58 0.78
79 4 0.79
26 70 0.8
99 27 0.78
52 31 0.78
21 26 0.77
82 4 0.93
59 12 0.97
83 98 0.91
15 60 0.97
62 89 0.77
54 91 0.75
14 21 0.83
36 15 0.75
11 64 0.81
95 87 0.79
77 20 0.96
73 2 0.98
52 57 0.78
11 41 0.94
