50 100 10 15
35.4083 85.6589
64.963 54.6114
60.7602 46.0499
75.6168 15.2666
88.4364 25.5789
89.5503 39.1646
7.8076 96.4607
52.5871 51.9424
4.5145 12.0884
79.6613 91.4895
31.4831 45.6607
23.5507 90.4683
26.7438 29.19
14.2384 78.2189
19.3852 5.5907
83.3386 21.3044
74.5104 77.6544
74.3855 69.681
26.5942 90.7883
11.3418 60.8883
4.8981 54.4557
27.612 75.3118
65.736 87.7259
62.6701 89.3774
57.4108 85.5831
20.0358 68.3244
40.9374 40.7614
28.4314 4.7855
83.4083 23.8428
75.7352 1.3959
86.5908 38.17
41.6935 90.7123
74.2514 30.3596
6.9935 86.733
95.8454 14.7173
68.7191 30.9913
26.003 41.8244
73.5626 21.0176
47.8618 76.7455
87.1375 24.2546
32.2553 88.6141
56.1023 29.7543
24.585 19.0678
13.4488 72.4119
23.7612 95.681
36.3673 90.1467
68.8089 70.0584
3.902 81.3472
68.8734 86.6425
26.0818 88.8213
23.0451 2.5752 1
62.6476 97.5528 1
24.3942 24.2368 1
44.268 90.1012 1
78.2786 44.8384 1
71.5829 6.2794 1
24.4633 9.9259 1
73.7832 36.8498 1
90.7812 51.3531 1
84.2232 38.0071 1
97.1466 0.16966 1
14.2859 71.7577 1
85.6912 34.5076 1
76.2052 65.6387 1
76.0262 16.9335 1
45.9418 62.1151 1
38.4084 42.4611 1
10.7429 67.7083 1
45.5472 17.881 1
14.7247 88.7456 1
29.3592 15.9935 1
38.0417 9.7846 1
92.4546 76.1439 1
19.3468 89.4076 1
65.5051 24.7727 1
39.4229 59.7233 1
19.3486 7.6617 1
3.1735 26.6548 1
80.1822 84.6328 1
31.3325 68.4056 1
74.6942 48.7419 1
59.0634 35.6783 1
29.6429 21.3335 1
81.5503 22.8838 1
89.2513 76.4782 1
58.9583 39.6144 1
81.5188 82.2659 1
55.5128 52.5028 1
81.4574 10.2739 1
3.8354 4.8383 1
84.8485 93.8881 1
11.4486 61.4735 1
15.1174 99.1897 1
72.8034 47.6778 1
20.1974 98.2658 1
73.8008 57.2067 1
86.7171 23.2497 1
20.9039 11.7017 1
72.876 13.0376 1
61.33 74.1824 1
51.2972 13.8313 1
95.9335 18.7152 1
18.4444 39.6476 1
20.0738 33.5996 1
65.9121 45.8718 1
73.9105 10.2915 1
37.4368 17.0468 1
97.608 64.1399 1
3.5211 78.7682 1
32.8246 37.236 1
65.0959 30.6597 1
3.935 89.7638 1
13.5622 72.4393 1
23.8739 40.6703 1
85.9359 18.6363 1
91.4478 5.1584 1
0.76076 94.3964 1
24.6182 42.062 1
60.973 59.6144 1
98.4514 51.3544 1
97.9311 89.5827 1
61.9195 18.5833 1
94.8318 9.3502 1
37.3761 5.6556 1
22.7565 4.7637 1
56.8183 68.272 1
56.0081 47.5505 1
28.1103 92.7014 1
87.2199 41.1363 1
84.5637 87.0006 1
64.7979 71 1
72.3669 94.2367 1
26.674 48.0171 1
12.1991 43.4611 1
15.0853 51.2073 1
66.7906 52.449 1
33.6551 46.9051 1
61.7685 95.8543 1
77.5326 85.6098 1
73.2936 30.5534 1
73.6284 72.0322 1
5.9901 85.4618 1
22.7051 30.7691 1
46.6279 15.6803 1
89.8958 7.7107 1
54.4241 74.8091 1
5.7137 53.4213 1
79.4493 45.3919 1
77.4849 79.2427 1
50.9021 21.8777 1
